,index,success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,prol_id,ctbl,sense_of_control_A,sense_of_control_B,sense_of_control_C,sense_of_control_D,age,gender,rt,url,stimulus,key_press,npress,is_data_trial,phase,trial,deck1,deck2,col1,col2,sym1,sym2,deck_l,deck_r,chosen_deck,chosen_col,chosen_sym,deck_rt,choose_choice,mutual_info,hidden_key,chosen_card,card_rt,player_num,win_card,outcome,mock_rating,response,responses
0,0,1.0,fullscreen,0,9673,0.0-0.0,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,external-html,1,18527,0.0-1.0,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,8717.6999999881,static/js/sub/consent.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,call-function,2,18531,0.0-2.0,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,image-keyboard-response,3,23393,0.0-3.0-0.0,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,4857.3000000119,,static/images/instructions_CB_3/Slide1.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,image-keyboard-response,4,32323,0.0-3.1-0.1,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,8925.6999999881,,static/images/instructions_CB_3/Slide2.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,image-keyboard-response,5,37364,0.0-3.2-0.2,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,5037.5,,static/images/instructions_CB_3/Slide3.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,image-keyboard-response,6,44948,0.0-3.3-0.3,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,7581.2000000179,,static/images/instructions_CB_3/Slide4.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,image-keyboard-response,7,51048,0.0-3.4-0.4,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,6096.6999999881,,static/images/instructions_CB_3/Slide5.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,image-keyboard-response,8,54859,0.0-3.5-0.5,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,3803.7999999821,,static/images/instructions_CB_3/Slide6.png,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,image-keyboard-response,9,55506,0.0-3.6-0.6,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,644.099999994,,static/images/instructions_CB_3/Slide5.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,image-keyboard-response,10,55785,0.0-3.7-0.7,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,276.5,,static/images/instructions_CB_3/Slide6.png,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,image-keyboard-response,11,56015,0.0-3.8-0.8,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,227.6000000238,,static/images/instructions_CB_3/Slide5.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,image-keyboard-response,12,57505,0.0-3.9-0.9,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,1487.599999994,,static/images/instructions_CB_3/Slide6.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,image-keyboard-response,13,60519,0.0-3.10-0.10,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,3011.5,,static/images/instructions_CB_3/Slide7.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,image-keyboard-response,14,70772,0.0-3.11-0.11,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,10251.1000000238,,static/images/instructions_CB_3/Slide8.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,image-keyboard-response,15,76254,0.0-3.12-0.12,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,5478.8999999762,,static/images/instructions_CB_3/Slide9.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,image-keyboard-response,16,85213,0.0-3.13-0.13,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,8957.0,,static/images/instructions_CB_3/Slide10.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,image-keyboard-response,17,92307,0.0-3.14-0.14,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,7091.599999994,,static/images/instructions_CB_3/Slide11.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,image-keyboard-response,18,107157,0.0-3.15-0.15,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,14843.6999999881,,static/images/instructions_CB_3/Slide12.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,,image-keyboard-response,19,126089,0.0-3.16-0.16,0res8o2mx8m,2022-09-19 16:45:09.902,5f1338a87447d0308e865fd0,3,64,48,47,40,20,Female,18929.3000000119,,static/images/instructions_CB_3/Slide13.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
