,index,success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,prol_id,ctbl,sense_of_control_A,sense_of_control_B,sense_of_control_C,sense_of_control_D,age,gender,rt,url,stimulus,key_press,npress,is_data_trial,phase,trial,deck1,deck2,col1,col2,sym1,sym2,deck_l,deck_r,chosen_deck,chosen_col,chosen_sym,deck_rt,choose_choice,mutual_info,hidden_key,chosen_card,card_rt,player_num,win_card,outcome,mock_rating,response,responses
0,0,1.0,fullscreen,0,11697,0.0-0.0,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,external-html,1,59099,0.0-1.0,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,47287.0,static/js/sub/consent.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,call-function,2,59102,0.0-2.0,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,image-keyboard-response,3,67466,0.0-3.0-0.0,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,8363.0,,static/images/instructions_CB_2/Slide1.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,image-keyboard-response,4,91164,0.0-3.1-0.1,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,23697.0,,static/images/instructions_CB_2/Slide2.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,image-keyboard-response,5,106704,0.0-3.2-0.2,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,15538.0,,static/images/instructions_CB_2/Slide3.png,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,image-keyboard-response,6,114525,0.0-3.3-0.3,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,7821.0,,static/images/instructions_CB_2/Slide2.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,image-keyboard-response,7,116383,0.0-3.4-0.4,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,1858.0,,static/images/instructions_CB_2/Slide3.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,image-keyboard-response,8,133675,0.0-3.5-0.5,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,17292.0,,static/images/instructions_CB_2/Slide4.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,image-keyboard-response,9,149655,0.0-3.6-0.6,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,15979.0,,static/images/instructions_CB_2/Slide5.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,image-keyboard-response,10,156389,0.0-3.7-0.7,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,6732.0,,static/images/instructions_CB_2/Slide6.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,image-keyboard-response,11,168608,0.0-3.8-0.8,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,12218.0,,static/images/instructions_CB_2/Slide7.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,image-keyboard-response,12,186266,0.0-3.9-0.9,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,17657.0,,static/images/instructions_CB_2/Slide8.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,image-keyboard-response,13,199624,0.0-3.10-0.10,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,13356.0,,static/images/instructions_CB_2/Slide9.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,image-keyboard-response,14,223350,0.0-3.11-0.11,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,23727.0,,static/images/instructions_CB_2/Slide10.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,image-keyboard-response,15,234039,0.0-3.12-0.12,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,10688.0,,static/images/instructions_CB_2/Slide11.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,image-keyboard-response,16,266662,0.0-3.13-0.13,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,32623.0,,static/images/instructions_CB_2/Slide12.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,image-keyboard-response,17,295338,0.0-3.14-0.14,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,28675.0,,static/images/instructions_CB_2/Slide13.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,image-keyboard-response,18,308066,0.0-3.15-0.15,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,12726.0,,static/images/instructions_CB_2/Slide14.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,,image-keyboard-response,19,323164,0.0-3.16-0.16,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,15096.0,,static/images/instructions_CB_2/Slide15.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,,image-keyboard-response,20,344619,0.0-3.17-0.17,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,21456.0,,static/images/instructions_CB_2/Slide16.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,,image-keyboard-response,21,361561,0.0-3.18-0.18,95vnnqgkx4n,2022-09-19 15:32:41.897,594abd98215cbd000146debc,2,27,35,70,34,54,female,16940.0,,static/images/instructions_CB_2/Slide17.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
