,index,success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,prol_id,ctbl,sense_of_control_A,sense_of_control_B,sense_of_control_C,sense_of_control_D,age,gender,rt,url,stimulus,key_press,npress,is_data_trial,phase,trial,deck1,deck2,col1,col2,sym1,sym2,deck_l,deck_r,chosen_deck,chosen_col,chosen_sym,deck_rt,choose_choice,mutual_info,hidden_key,chosen_card,card_rt,player_num,win_card,outcome,mock_rating,response,responses
0,0,1.0,fullscreen,0,3318,0.0-0.0,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,external-html,1,22486,0.0-1.0,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,19050.8999999762,static/js/sub/consent.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,call-function,2,22493,0.0-2.0,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,image-keyboard-response,3,36166,0.0-3.0-0.0,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,13668.1999999881,,static/images/instructions_CB_1/Slide1.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,image-keyboard-response,4,45960,0.0-3.1-0.1,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,9789.1999999881,,static/images/instructions_CB_1/Slide2.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,image-keyboard-response,5,51569,0.0-3.2-0.2,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,5604.0999999642,,static/images/instructions_CB_1/Slide3.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,image-keyboard-response,6,58625,0.0-3.3-0.3,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,7060.7999999523,,static/images/instructions_CB_1/Slide4.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,image-keyboard-response,7,66134,0.0-3.4-0.4,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,7506.5,,static/images/instructions_CB_1/Slide5.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,image-keyboard-response,8,70962,0.0-3.5-0.5,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,4826.0999999642,,static/images/instructions_CB_1/Slide6.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,image-keyboard-response,9,75554,0.0-3.6-0.6,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,4589.3999999762,,static/images/instructions_CB_1/Slide7.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,image-keyboard-response,10,96345,0.0-3.7-0.7,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,20788.3000000119,,static/images/instructions_CB_1/Slide8.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,image-keyboard-response,11,104187,0.0-3.8-0.8,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,7839.0,,static/images/instructions_CB_1/Slide9.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,image-keyboard-response,12,121431,0.0-3.9-0.9,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,17241.0,,static/images/instructions_CB_1/Slide10.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,image-keyboard-response,13,128857,0.0-3.10-0.10,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,7423.3999999762,,static/images/instructions_CB_1/Slide11.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,image-keyboard-response,14,144571,0.0-3.11-0.11,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,15711.8000000119,,static/images/instructions_CB_1/Slide12.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,image-keyboard-response,15,158487,0.0-3.12-0.12,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,13913.3999999762,,static/images/instructions_CB_1/Slide13.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,image-keyboard-response,16,163028,0.0-3.13-0.13,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,4538.9000000358,,static/images/instructions_CB_1/Slide14.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,image-keyboard-response,17,176625,0.0-3.14-0.14,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,13594.3000000119,,static/images/instructions_CB_1/Slide15.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,image-keyboard-response,18,185096,0.0-3.15-0.15,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,8460.0,,static/images/instructions_CB_1/Slide16.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,,image-keyboard-response,19,197813,0.0-3.16-0.16,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,12715.3000000119,,static/images/instructions_CB_1/Slide17.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,,image-keyboard-response,20,218602,0.0-3.17-0.17,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,20787.5999999642,,static/images/instructions_CB_1/Slide18.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,,image-keyboard-response,21,229864,0.0-3.18-0.18,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,11259.0999999642,,static/images/instructions_CB_1/Slide19.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,,html-keyboard-response,22,231370,0.0-4.0-0.0,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,,,"<img src=""static/images/cards/stack_of_red_moons.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,,html-keyboard-response,23,234592,0.0-4.0-1.0,ojttky67elb,2022-09-19 17:09:09.641,5c366fc38821900001b38b67,1,69,35,36,35,forty eight,female,2712.6000000238,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
