,index,success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,prol_id,ctbl,sense_of_control_A,sense_of_control_B,sense_of_control_C,sense_of_control_D,age,gender,rt,url,stimulus,key_press,npress,is_data_trial,phase,trial,deck1,deck2,col1,col2,sym1,sym2,deck_l,deck_r,chosen_deck,chosen_col,chosen_sym,deck_rt,choose_choice,mutual_info,hidden_key,chosen_card,card_rt,player_num,win_card,outcome,mock_rating,response,responses
0,0,1.0,fullscreen,0,54840,0.0-0.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,external-html,1,58892,0.0-1.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,3418.0,static/js/sub/consent.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,call-function,2,58902,0.0-2.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,image-keyboard-response,3,60999,0.0-3.0-0.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,2095.0,,static/images/instructions_CB_3/Slide1.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,image-keyboard-response,4,63784,0.0-3.1-0.1,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,2781.0,,static/images/instructions_CB_3/Slide2.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,image-keyboard-response,5,65384,0.0-3.2-0.2,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1596.0,,static/images/instructions_CB_3/Slide3.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,image-keyboard-response,6,66548,0.0-3.3-0.3,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1161.0,,static/images/instructions_CB_3/Slide4.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,image-keyboard-response,7,67403,0.0-3.4-0.4,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,852.0,,static/images/instructions_CB_3/Slide5.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,image-keyboard-response,8,68173,0.0-3.5-0.5,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,768.0,,static/images/instructions_CB_3/Slide6.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,image-keyboard-response,9,69092,0.0-3.6-0.6,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,918.0,,static/images/instructions_CB_3/Slide7.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,image-keyboard-response,10,74344,0.0-3.7-0.7,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,5249.0,,static/images/instructions_CB_3/Slide8.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,image-keyboard-response,11,79942,0.0-3.8-0.8,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,5597.0,,static/images/instructions_CB_3/Slide9.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,image-keyboard-response,12,90782,0.0-3.9-0.9,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,10837.0,,static/images/instructions_CB_3/Slide10.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,image-keyboard-response,13,91972,0.0-3.10-0.10,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1187.0,,static/images/instructions_CB_3/Slide11.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,image-keyboard-response,14,93607,0.0-3.11-0.11,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1633.0,,static/images/instructions_CB_3/Slide12.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,image-keyboard-response,15,95194,0.0-3.12-0.12,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1584.0,,static/images/instructions_CB_3/Slide13.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,image-keyboard-response,16,96318,0.0-3.13-0.13,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1121.0,,static/images/instructions_CB_3/Slide14.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,image-keyboard-response,17,97052,0.0-3.14-0.14,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,732.0,,static/images/instructions_CB_3/Slide15.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,image-keyboard-response,18,97912,0.0-3.15-0.15,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,858.0,,static/images/instructions_CB_3/Slide16.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,,image-keyboard-response,19,99882,0.0-3.16-0.16,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1968.0,,static/images/instructions_CB_3/Slide17.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,,image-keyboard-response,20,104093,0.0-3.17-0.17,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,4210.0,,static/images/instructions_CB_3/Slide18.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,,image-keyboard-response,21,105682,0.0-3.18-0.18,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1587.0,,static/images/instructions_CB_3/Slide19.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,,html-keyboard-response,22,107189,0.0-4.0-0.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,,,"<img src=""static/images/cards/stack_of_black_moons.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,,html-keyboard-response,23,108803,0.0-4.0-1.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1107.0,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,,html-keyboard-response,24,110307,0.0-4.0-2.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/6_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,,html-keyboard-response,25,111810,0.0-4.0-3.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,,,"<p style=""font-size:50px"">You win!
+10 points this round!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,,html-keyboard-response,26,112313,0.0-4.0-4.0,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,,,,,,1.0,learning,0.0,A,,black,,moons,,,,A,black,moons,,1.0,1.0,NA,left,1107.0,6.0,1.0,1.0,,,
27,0,,html-keyboard-response,27,113815,0.0-4.1-0.1,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,,,"<img src=""static/images/cards/stack_of_red_moons.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,,html-keyboard-response,28,115592,0.0-4.1-1.1,pkyneri5rd,2022-09-19 17:33:51.131,5f0f2ff0762218000970c967,3,38,41,37,53,26,Female ,1274.0,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",77.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
